;serie;temporada;episodio;nome_episodio;nota;votos
0;Chernobyl;1; 1;1:23:45;9.5;43180
1;Chernobyl;1; 2;Please Remain Calm;9.7;40814
2;Chernobyl;1; 3;Open Wide, O Earth;9.6;38224
3;Chernobyl;1; 4;The Happiness of All Mankind;9.5;35814
4;Chernobyl;1; 5;Vichnaya Pamyat;9.9;46264
5;Escape at Dannemora;1; 1;Part 1;7.9;762
6;Escape at Dannemora;1; 2;Part 2;8.0;640
7;Escape at Dannemora;1; 3;Part 3;8.2;588
8;Escape at Dannemora;1; 4;Part 4;8.2;559
9;Escape at Dannemora;1; 5;Part 5;8.8;653
10;Escape at Dannemora;1; 6;Part 6;7.9;626
11;Escape at Dannemora;1; 7;Part 7;8.5;527
12;Fosse/Verdon;1; 1;Life Is a Cabaret;8.1;352
13;Fosse/Verdon;1; 2;Who's Got the Pain?;8.3;260
14;Fosse/Verdon;1; 3;Me and My Baby;8.3;220
15;Fosse/Verdon;1; 4;Glory;8.5;233
16;Fosse/Verdon;1; 5;Where Am I Going?;8.5;205
17;Fosse/Verdon;1; 6;All I Care About Is Love;8.1;176
18;Fosse/Verdon;1; 7;Nowadays;8.6;180
19;Fosse/Verdon;1; 8;Providence;8.8;156
20;Objetos Cortantes;1; 1;Vanish;8.1;2975
21;Objetos Cortantes;1; 2;Dirt;7.9;2322
22;Objetos Cortantes;1; 3;Fix;8.3;2241
23;Objetos Cortantes;1; 4;Ripe;8.2;2048
24;Objetos Cortantes;1; 5;Closer;8.2;1976
25;Objetos Cortantes;1; 6;Cherry;8.2;1886
26;Objetos Cortantes;1; 7;Falling;9.0;2356
27;Objetos Cortantes;1; 8;Milk;9.1;2741
28;Olhos que Condenam;1; 1;Part One;9.1;2866
29;Olhos que Condenam;1; 2;Part Two;9.1;2562
30;Olhos que Condenam;1; 3;Part Three;8.5;2304
31;Olhos que Condenam;1; 4;Part Four;9.6;3093
