;serie;temporada;episodio;nome_episodio;nota;votos
0;RuPaul e a Corrida das Loucas;11; 1;Whatcha Unpackin?;7.9;191
1;RuPaul e a Corrida das Loucas;11; 2;Good God Girl, Get Out;8.3;172
2;RuPaul e a Corrida das Loucas;11; 3;Diva Worship;8.1;166
3;RuPaul e a Corrida das Loucas;11; 4;Trump: The Rusical;7.6;159
4;RuPaul e a Corrida das Loucas;11; 5;Monster Ball;7.4;133
5;RuPaul e a Corrida das Loucas;11; 6;The Draglympics;6.5;166
6;RuPaul e a Corrida das Loucas;11; 7;From Farm to Runway;7.9;130
7;RuPaul e a Corrida das Loucas;11; 8;Snatch Game at Sea;8.6;172
8;RuPaul e a Corrida das Loucas;11; 9;L.A.D.P.!;7.2;127
9;RuPaul e a Corrida das Loucas;11; 10;Dragracadabra;6.6;157
10;RuPaul e a Corrida das Loucas;11; 11;Bring Back My Queens!;4.4;239
11;RuPaul e a Corrida das Loucas;11; 12;Queens Everywhere;7.1;113
12;RuPaul e a Corrida das Loucas;11; 13;Reunited;7.1;82
13;RuPaul e a Corrida das Loucas;11; 14;Grand Finale;8.5;116
14;The Amazing Race;31; 1;You're in Our Race Now;7.6;68
15;The Amazing Race;31; 2;Knock the Newbie Out of Us;7.7;63
16;The Amazing Race;31; 3;Here Fishy, Fishy, Fishy;7.9;63
17;The Amazing Race;31; 4;I Took Out a Polar Bear;7.6;53
18;The Amazing Race;31; 5;I'm a Bird, I'm a Plane, I'm on The Amazing Race!;7.9;48
19;The Amazing Race;31; 6;Who Wants a Rolex?;7.4;47
20;The Amazing Race;31; 7;Living Fearlessly;8.0;46
21;The Amazing Race;31; 8;You're the Apple in My Eye;7.9;48
22;The Amazing Race;31; 9;Let's Split!;8.2;52
23;The Amazing Race;31; 10;Chugga Chugga Choo Choo!;7.6;45
24;The Amazing Race;31; 11;This One Is for One Million Dollars;8.1;48
25;American Ninja Warrior;10; 0;Red Nose Day: Celebrity Ninja Warrior;8.6;16
26;American Ninja Warrior;10; 1;Dallas City Qualifiers;7.2;20
27;American Ninja Warrior;10; 2;Los Angeles City Qualifiers;7.8;22
28;American Ninja Warrior;10; 3;Miami City Qualifiers;8.1;19
29;American Ninja Warrior;10; 4;Indianapolis City Qualifiers;7.8;19
30;American Ninja Warrior;10; 5;Philadelphia City Qualifiers;8.0;20
31;American Ninja Warrior;10; 6;Minneapolis City Qualifiers;7.5;21
32;American Ninja Warrior;10; 7;Los Angeles City Finals;6.7;20
33;American Ninja Warrior;10; 8;Dallas City Finals;7.3;19
34;American Ninja Warrior;10; 9;Miami City Finals;7.5;17
35;American Ninja Warrior;10; 10;Indianapolis City Finals;7.5;19
36;American Ninja Warrior;10; 11;Philadelphia City Finals;8.1;15
37;American Ninja Warrior;10; 12;Minneapolis City Finals;7.8;17
38;American Ninja Warrior;10; 13;Las Vegas Finals Night 1;7.2;18
39;American Ninja Warrior;10; 14;Las Vegas Finals Night 2;7.0;18
40;American Ninja Warrior;10; 16;USA vs the World;7.3;12
41;Mandou Bem;2; 1;High Society;7.3;63
42;Mandou Bem;2; 2;Fictitious and Delicious;7.7;64
43;Mandou Bem;2; 3;Tailgate, Failgate;7.2;57
44;Mandou Bem;2; 4;Holi-Daze;6.8;48
45;Mandou Bem;2; 5;Zoo You Bake?;7.1;49
46;Mandou Bem;2; 6;Out Of This World;7.4;45
47;Mandou Bem;2; 7;Bonus: 3, 2, 1... Ya Not Done!;6.3;60
48;Top Chef;16; 1;The Fastest 2 Minutes in Cooking;7.7;12
49;Top Chef;16; 2;Bourbon, Barrels and Burgoo;7.3;13
50;Top Chef;16; 3;Naughty and Nice;7.5;11
51;Top Chef;16; 4;Surprise... It's Restaurant Wars;7.5;11
52;Top Chef;16; 5;Restaurant Wars: Part 2;7.0;9
53;Top Chef;16; 6;Roaring Munchies;7.2;10
54;Top Chef;16; 7;Carne!;6.5;11
55;Top Chef;16; 8;Whatever Floats Your Boat;7.6;11
56;Top Chef;16; 9;Music City USA;7.2;9
57;Top Chef;16; 10;Hoop Dreams;7.3;9
58;Top Chef;16; 11;The Greatest;7.1;10
59;Top Chef;16; 12;Kentucky Farewell;7.6;9
60;Top Chef;16; 13;Holy Macau!;7.5;10
61;Top Chef;16; 14;The Tao of Macau;7.8;10
62;Top Chef;16; 15;Finale;7.9;10
63;The Voice;16; 1;The Blind Auditions Premiere, Night 1;7.5;26
64;The Voice;16; 2;Episode #16.2;7.5;26
65;The Voice;16; 3;Episode #16.3;7.6;26
66;The Voice;16; 4;Episode #16.4;7.5;24
67;The Voice;16; 5;The Blind Auditions, Part 5;7.4;26
68;The Voice;16; 6;The Blind Auditions, Part 6;7.2;24
69;The Voice;16; 7;The Best of the Blind Auditions;6.3;17
70;The Voice;16; 8;The Battles Premiere, Part 1;7.6;24
71;The Voice;16; 9;The Battles, Part 2;7.4;24
72;The Voice;16; 10;The Battles, Part 3;7.3;19
73;The Voice;16; 11;The Battles, Part 4;7.2;20
74;The Voice;16; 12;Live Cross Battles, Part 1;6.9;22
75;The Voice;16; 13;Live Cross Battles, Part 1, Results;6.0;23
76;The Voice;16; 14;Live Cross Battles, Part 2;6.7;21
77;The Voice;16; 15;Live Cross Battles, Part 2, Results;6.2;20
78;The Voice;16; 16;Live Top 24 Performances;7.3;17
79;The Voice;16; 17;Live Top 24 Eliminationss;6.5;18
80;The Voice;16; 18;Live Top 13 Performance;7.3;13
81;The Voice;16; 19;Live Top 13 Results;6.5;14
82;The Voice;16; 20;Live Top 8 Semifinals Performance;7.8;12
83;The Voice;16; 21;Live Top 8 Semifinals Results;6.5;15
84;The Voice;16; 22;Live Finale Performance;7.4;14
85;The Voice;16; 23;Live Finale Results;8.8;12
