;serie;temporada;episodio;nome_episodio;nota;votos
0;Better Call Saul;4; 1;Smoke;8.4;3820
1;Better Call Saul;4; 2;Breathe;8.9;3691
2;Better Call Saul;4; 3;Something Beautiful;8.6;3250
3;Better Call Saul;4; 4;Talk;8.3;3098
4;Better Call Saul;4; 5;Quite a Ride;8.7;3189
5;Better Call Saul;4; 6;Piñata;8.7;3035
6;Better Call Saul;4; 7;Something Stupid;8.5;2936
7;Better Call Saul;4; 8;Coushatta;8.9;3145
8;Better Call Saul;4; 9;Wiedersehen;9.2;3227
9;Better Call Saul;4; 10;Winner;9.6;4975
10;Segurança em Jogo;1; 1;Episode #1.1;8.4;3396
11;Segurança em Jogo;1; 2;Episode #1.2;8.7;3164
12;Segurança em Jogo;1; 3;Episode #1.3;8.4;2614
13;Segurança em Jogo;1; 4;Episode #1.4;8.2;2357
14;Segurança em Jogo;1; 5;Episode #1.5;8.2;2199
15;Segurança em Jogo;1; 6;Episode #1.6;8.5;2815
16;Game of Thrones;8; 1;Winterfell;7.6;118425
17;Game of Thrones;8; 2;A Knight of the Seven Kingdoms;7.9;116521
18;Game of Thrones;8; 3;The Long Night;7.5;195966
19;Game of Thrones;8; 4;The Last of the Starks;5.5;148878
20;Game of Thrones;8; 5;The Bells;6.1;173433
21;Game of Thrones;8; 6;The Iron Throne;4.2;211958
22;Killing Eve;2; 1;Do You Know How to Dispose of a Body?;8.5;1628
23;Killing Eve;2; 2;Nice and Neat;8.4;1350
24;Killing Eve;2; 3;The Hungry Caterpillar;8.4;1236
25;Killing Eve;2; 4;Desperate Times;8.4;1177
26;Killing Eve;2; 5;Smell Ya Later;8.5;1191
27;Killing Eve;2; 6;I Hope You Like Missionary!;8.4;1113
28;Killing Eve;2; 7;Wide Awake;8.7;1117
29;Killing Eve;2; 8;You're Mine;8.9;1357
30;Ozark;2; 1;Reparations;8.4;1863
31;Ozark;2; 2;The Precious Blood of Jesus;8.2;1617
32;Ozark;2; 3;Once a Langmore...;8.1;1540
33;Ozark;2; 4;Stag;8.3;1499
34;Ozark;2; 5;Game Day;8.9;1694
35;Ozark;2; 6;Outer Darkness;8.6;1515
36;Ozark;2; 7;One Way Out;8.6;1602
37;Ozark;2; 8;The Big Sleep;8.4;1394
38;Ozark;2; 9;The Badger;8.8;1498
39;Ozark;2; 10;The Gold Coast;9.0;1782
40;Pose;1; 1;Pilot;8.7;913
41;Pose;1; 2;Access;8.6;671
42;Pose;1; 3;Giving and Receiving;8.8;626
43;Pose;1; 4;The Fever;8.7;532
44;Pose;1; 5;Mother's Day;9.0;548
45;Pose;1; 6;Love Is the Message;9.1;618
46;Pose;1; 7;Pink Slip;8.6;458
47;Pose;1; 8;Mother of The Year;9.2;594
48;Succession;1; 1;Celebration;7.7;620
49;Succession;1; 2;Shit Show at the Fuck Factory;7.6;488
50;Succession;1; 3;Lifeboats;7.8;437
51;Succession;1; 4;Sad Sack Wasp Trap;8.0;403
52;Succession;1; 5;I Went to Market;8.3;397
53;Succession;1; 6;Which Side Are You On?;8.9;454
54;Succession;1; 7;Austerlitz;8.5;363
55;Succession;1; 8;Prague;8.3;334
56;Succession;1; 9;Pre-Nuptial;8.6;350
57;Succession;1; 10;Nobody Is Ever Missing;9.0;449
58;This Is Us;3; 1;Nine Bucks;8.8;933
59;This Is Us;3; 2;A Philadelphia Story;8.3;716
60;This Is Us;3; 3;Katie Girls;8.7;762
61;This Is Us;3; 4;Vietnam;8.2;856
62;This Is Us;3; 5;Toby;8.3;637
63;This Is Us;3; 6;Kamsahamnida;8.5;636
64;This Is Us;3; 7;Sometimes;8.5;636
65;This Is Us;3; 8;Six Thanksgivings;8.3;606
66;This Is Us;3; 9;The Beginning Is the End Is the Beginning;9.0;733
67;This Is Us;3; 10;The Last Seven Weeks;8.5;560
68;This Is Us;3; 11;Songbird Road: Part One;9.3;820
69;This Is Us;3; 12;Songbird Road: Part Two;8.6;542
70;This Is Us;3; 13;Our Little Island Girl;8.8;726
71;This Is Us;3; 14;The Graduates;8.7;496
72;This Is Us;3; 15;The Waiting Room;8.2;593
73;This Is Us;3; 16;Don't Take My Sunshine Away;8.2;455
74;This Is Us;3; 17;R & B;8.8;564
75;This Is Us;3; 18;Her;9.2;715
